  213161553 function calls (209607226 primitive calls) in 191.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   3763/1    0.016    0.000  191.803  191.803 {built-in method builtins.exec}
        1    0.000    0.000  191.803  191.803 <string>:1(<module>)
        1    0.000    0.000  191.803  191.803 site.py:52(_new_site)
        7    0.001    0.000  187.102   26.729 installer.py:40(install_app)
3046/2845    0.153    0.000  163.042    0.057 document.py:196(insert)
        7    0.030    0.004  137.807   19.687 sync.py:25(sync_for)
     1325    0.032    0.000  135.347    0.102 import_file.py:43(import_file_by_path)
     1474    0.040    0.000  134.104    0.091 import_file.py:97(import_doc)
3060/2859    0.301    0.000  128.765    0.045 document.py:919(run_post_save_methods)
56510/54210    0.298    0.000  127.195    0.002 document.py:785(run_method)
    56334    0.704    0.000  126.816    0.002 database.py:89(sql)
56510/54210    0.222    0.000  125.926    0.002 document.py:1064(composer)
56510/54210    0.078    0.000  125.475    0.002 document.py:1055(runner)
2739/2252    0.010    0.000  124.844    0.055 document.py:791(<lambda>)
    56334    0.140    0.000  123.120    0.002 cursors.py:151(execute)
    56334    0.176    0.000  119.782    0.002 cursors.py:324(_query)
    56334    0.235    0.000  119.329    0.002 connections.py:508(query)
    56334    0.142    0.000  116.250    0.002 connections.py:720(_read_query_result)
    56335    0.207    0.000  116.013    0.002 connections.py:1073(read)
     1038    0.066    0.000   94.621    0.091 doctype.py:275(on_update)
  3986434    8.637    0.000   87.023    0.000 connections.py:648(_read_packet)
  7972868    6.854    0.000   69.866    0.000 connections.py:687(_read_bytes)
    28014    0.092    0.000   62.184    0.002 connections.py:1149(_read_result_packet)
     7054    0.024    0.000   61.714    0.009 database.py:771(get_tables)
  7972882    4.058    0.000   55.319    0.000 {method 'read' of '_io.BufferedReader' objects}
    28014    4.365    0.000   54.892    0.002 connections.py:1182(_read_rowdata_packet)
    64758    0.201    0.000   51.342    0.001 socket.py:575(readinto)
    64757   50.900    0.001   50.900    0.001 {method 'recv_into' of '_socket.socket' objects}
